Id,Name,RatingDist1,RatingDist4,RatingDistTotal,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,RatingDist3
28,Notes from a Small Island,1:1487,4:35153,total:89491,William Morrow Paperbacks,3335,1997,eng,Bill Bryson,3.92,2:4717,5:27216,3:20918
29,The Mother Tongue: English and How It Got That Way,1:490,4:13483,total:33416,William Morrow Paperbacks,2123,1991,eng,Bill Bryson,3.93,2:1691,5:10087,3:7665
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1:920,4:22283,total:106621,Ballantine Books,1548,2012,eng,J.R.R. Tolkien,4.6,2:1443,5:75533,3:6442
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",1:5774,4:126639,total:539513,Houghton Mifflin Harcourt,90,2004,eng,J.R.R. Tolkien,4.5,2:11142,5:352247,3:43711
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",1:45879,4:593379,total:2255826,Houghton Mifflin Harcourt,13935,2003,eng,J.R.R. Tolkien,4.36,2:65166,5:1314771,3:236631
36,The Lord of the Rings: Weapons and Warfare,1:335,4:4037,total:20920,Houghton Mifflin Harcourt,45,2003,eng,Chris   Smith,4.53,2:319,5:14522,3:1707
37,The Lord of the Rings: Complete Visual Companion,1:4,4:82,total:380,Houghton Mifflin Harcourt,6,2004,eng,Jude Fisher,4.5,2:10,5:253,3:31
45,Agile Web Development with Rails: A Pragmatic Guide,1:56,4:820,total:2080,Pragmatic Bookshelf,59,2005,eng,Dave Thomas,3.84,2:124,5:580,3:500
50,"Hatchet (Brian's Saga, #1)",1:14007,4:92227,total:288973,Atheneum Books for Young Readers: Richard Jackson Books,12157,2000,eng,Gary Paulsen,3.72,2:26144,5:85440,3:71155
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",1:3,4:8,total:36,Teacher Created Resources,2,1994,eng,Donna Ickes,4.0,2:2,5:18,3:5
53,Guts: The True Stories behind Hatchet and the Brian Books,1:54,4:830,total:2400,Delacorte Press,336,2001,eng,Gary Paulsen,3.88,2:139,5:770,3:607
54,Molly Hatchet - 5 of the Best,1:1,4:0,total:6,Cherry Lane Music Company,0,2003,eng,Molly Hatchet,4.33,2:0,5:5,3:0
55,Hatchet Jobs: Writings on Contemporary Fiction,1:10,4:43,total:123,The New Press,16,2005,en-US,Dale Peck,3.46,2:10,5:22,3:38
57,A Changeling for All Seasons (Changeling Seasons #1),1:10,4:49,total:171,Changeling Press,4,2005,eng,Angela Knight,3.76,2:13,5:57,3:42
58,"Changeling (Changeling, #1)",1:39,4:352,total:1049,Viking Juvenile,112,2006,eng,Delia Sherman,3.6,2:97,5:228,3:333
59,The Changeling Sea,1:79,4:1623,total:4836,Firebird,306,2003,eng,Patricia A. McKillip,4.06,2:195,5:1940,3:999
61,The Changeling,1:13,4:453,total:1365,iUniverse,97,2004,eng,Zilpha Keatley Snyder,4.17,2:48,5:611,3:240
66,"The Changeling (Daughters of England, #15)",1:2,4:151,total:439,Ivy Books,13,1990,eng,Philippa Carr,3.98,2:21,5:152,3:113
67,The Known World,1:933,4:12417,total:33493,Amistad,2632,2006,eng,Edward P. Jones,3.83,2:2460,5:9894,3:7789
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",1:38,4:569,total:1645,FT Press,83,2006,eng,Satyajit Das,3.83,2:112,5:492,3:434
72,Artesia: Adventures in the Known World,1:0,4:24,total:53,Archaia,4,2005,eng,Mark Smylie,4.13,2:2,5:19,3:8
74,"The John McPhee Reader (John McPhee Reader, #1)",1:2,4:224,total:624,"Farrar, Straus and Giroux",37,1982,eng,John McPhee,4.42,2:6,5:336,3:56
75,Uncommon Carriers,1:21,4:861,total:1895,Farrar Straus Giroux,203,2006,en-US,John McPhee,3.95,2:75,5:529,3:409
76,Heirs of General Practice,1:1,4:120,total:287,"Farrar, Straus and Giroux",23,1986,eng,John McPhee,4.16,2:6,5:110,3:50
77,The Control of Nature,1:25,4:1458,total:3747,"Farrar, Straus and Giroux",305,1990,en-US,John McPhee,4.24,2:88,5:1671,3:505
78,Annals of the Former World,1:56,4:1003,total:3472,"Farrar, Straus and Giroux",227,1999,eng,John McPhee,4.34,2:101,5:1933,3:379
79,Coming Into the Country,1:57,4:2291,total:6049,"Farrar, Straus and Giroux",262,1991,eng,John McPhee,4.22,2:149,5:2672,3:880
80,La Place de la Concorde Suisse,1:7,4:334,total:816,"Farrar, Straus and Giroux",53,1994,fre,John McPhee,3.92,2:44,5:239,3:192
81,Giving Good Weight,1:3,4:251,total:587,"Farrar, Straus and Giroux",36,1994,eng,John McPhee,4.22,2:10,5:242,3:81
83,Rising from the Plains,1:7,4:554,total:1418,"Farrar, Straus and Giroux",99,1987,eng,John McPhee,4.23,2:31,5:616,3:210
85,The Heidi Chronicles,1:38,4:505,total:1513,Dramatists Play Service,70,2002,eng,Wendy Wasserstein,3.75,2:139,5:421,3:410
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,1:84,4:908,total:2776,Vintage,64,1991,eng,Wendy Wasserstein,3.84,2:197,5:894,3:693
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",1:1,4:9,total:31,Routledge,1,2006,eng,Heidi Hayes Jacobs,3.94,2:0,5:11,3:10
90,Simply Beautiful Beaded Jewelry,1:1,4:22,total:64,North Light Books,4,2006,en-US,Heidi Boyd,3.77,2:5,5:17,3:19
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,1:9,4:247,total:1009,Chosen Books,53,2003,eng,Heidi Baker,4.46,2:18,5:632,3:103
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,1:3,4:23,total:77,Association for Supervision & Curriculum Development,2,1997,en-US,Heidi Hayes Jacobs,3.66,2:4,5:19,3:28
93,"Heidi (Heidi, #1-2)",1:2312,4:55474,total:167957,Kingfisher,2289,2002,eng,Johanna Spyri,3.99,2:8754,5:61857,3:39560
94,Getting Results with Curriculum Mapping,1:2,4:8,total:56,ASCD,5,2004,eng,Heidi Hayes Jacobs,3.25,2:12,5:11,3:23
96,There's Always Enough: The Miraculous Move of God in Mozambique,1:9,4:247,total:1009,Sovereign World,6,2003,eng,Rolland Baker,4.46,2:18,5:632,3:103
98,What to Expect the First Year (What to Expect),1:404,4:5458,total:15480,Workman Publishing Company,663,2003,eng,Heidi Murkoff,3.89,2:877,5:4989,3:3752
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,1:1,4:7,total:34,One Hour Entertainment,8,2004,eng,Heidi Fleiss,3.82,2:5,5:14,3:7
100,Simply Beautiful Beading: 53 Quick and Easy Projects,1:0,4:30,total:86,North Light Books,4,2004,en-US,Heidi Boyd,3.78,2:9,5:23,3:24
103,"God Emperor of Dune (Dune Chronicles, #4)",1:1228,4:20916,total:63372,Ace Books,167,1987,eng,Frank Herbert,3.85,2:4926,5:20076,3:16226
104,"Dune (Dune Chronicles, #1)",1:15670,4:200976,total:688418,Ace Books,468,2005,eng,Frank Herbert,4.23,2:27945,5:351127,3:92700
105,Chapterhouse: Dune (Dune Chronicles #6),1:753,4:14899,total:44113,Ace Books,569,1987,eng,Frank Herbert,3.91,2:2941,5:14828,3:10692
106,Dune Messiah (Dune Chronicles #2),1:1271,4:47997,total:119887,Ace Books,2372,1987,eng,Frank Herbert,3.88,2:6672,5:33606,3:30341
107,Dreamer of Dune: The Biography of Frank Herbert,1:18,4:275,total:849,Tor Books,21,2004,en-US,Brian Herbert,4.01,2:42,5:329,3:185
109,"Heretics of Dune (Dune Chronicles, #5)",1:791,4:18351,total:51869,Putnam,20,1984,eng,Frank Herbert,3.86,2:3445,5:15664,3:13618
110,The Road to Dune,1:104,4:1544,total:5143,Tor Science Fiction,83,2006,eng,Frank Herbert,3.88,2:336,5:1775,3:1384
112,Children of Dune (Dune Chronicles #3),1:1021,4:38518,total:99703,Ace Books,1408,1987,eng,Frank Herbert,3.93,2:5191,5:30710,3:24263
117,Heretics of Dune (Dune Chronicles #5),1:791,4:18351,total:51869,Ace Books,642,1987,eng,Frank Herbert,3.86,2:3445,5:15664,3:13618
119,The Lord of the Rings: The Art of the Fellowship of the Ring,1:270,4:5579,total:28117,Houghton Mifflin Harcourt,102,2002,eng,Gary Russell,4.6,2:264,5:20057,3:1947
122,"The Power of One (The Power of One, #1)",1:883,4:22532,total:74341,Ballantine Books,4580,1996,eng,Bryce Courtenay,4.35,2:1947,5:40853,3:8126
129,"The Power of One: One Person, One Rule, One Month",1:0,4:4,total:18,Thomas Nelson,1,2004,en-US,John C. Maxwell,4.22,2:2,5:10,3:2
130,Power of an Hour: Business and Life Mastery in One Hour a Week,1:12,4:55,total:207,Wiley,16,2006,eng,Dave Lakhani,3.34,2:38,5:39,3:63
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",1:1,4:4,total:15,Heinemann Drama,0,2000,eng,Louis E. Catron,3.67,2:2,5:5,3:3
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",1:2,4:31,total:90,William Morrow Paperbacks,9,2005,eng,Adam Ginsberg,3.48,2:14,5:15,3:28
133,eBay for Dummies,1:6,4:64,total:217,Wiley,9,2006,eng,Marsha Collier,3.51,2:28,5:43,3:76
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,1:0,4:5,total:24,McGraw-Hill,0,2006,eng,Chris Malta,3.62,2:4,5:7,3:8
137,Starting an eBay Business for Dummies,1:5,4:37,total:117,Wiley,4,2004,eng,Marsha Collier,3.55,2:17,5:27,3:31
138,eBay: Top 100 Simplified Tips & Tricks,1:0,4:3,total:11,Wiley,0,2006,eng,Julia Wilkinson,4.27,2:1,5:6,3:1
139,ebay Timesaving Techniques for Dummies,1:1,4:4,total:23,Wiley,1,2004,en-US,Marsha Collier,3.39,2:5,5:6,3:7
140,eBay Business All-in-One Desk Reference for Dummies,1:1,4:9,total:18,Wiley,3,2005,en-US,Marsha Collier,3.89,2:1,5:5,3:2
141,Ruby Cookbook,1:4,4:65,total:185,O'Reilly Media,4,2006,eng,Lucas Carlson,3.83,2:12,5:54,3:50
142,Ruby Ann's Down Home Trailer Park Cookbook,1:2,4:16,total:51,Citadel,5,2005,eng,Ruby Ann Boxcar,4.12,2:1,5:23,3:9
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,1:0,4:9,total:13,Citadel,2,2005,eng,Ruby Ann Boxcar,4.08,2:1,5:3,3:0
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,1:3,4:23,total:68,O'Reilly Media,1,2007,eng,Rob Orsini,3.46,2:10,5:12,3:20
151,Anna Karenina,1:16361,4:207053,total:631550,Penguin Classics,1873,2004,eng,Leo Tolstoy,4.05,2:34470,5:261170,3:112496
154,CliffsNotes on Tolstoy's Anna Karenina,1:1,4:4,total:19,Cliffs Notes,3,1965,eng,Marianne Sturman,3.89,2:3,5:9,3:2
159,Dinner with Anna Karenina,1:44,4:98,total:498,Mira Books,65,2006,eng,Gloria Goldreich,2.98,2:105,5:43,3:208
160,Tolstoy: Anna Karenina,1:27,4:406,total:1214,Cambridge University Press,33,1987,eng,Anthony Thorlby,4.19,2:47,5:572,3:162
162,Untouchable,1:78,4:1575,total:3967,Penguin Books,286,1990,eng,Mulk Raj Anand,3.72,2:299,5:859,3:1156
163,The Untouchable,1:50,4:1104,total:2686,Vintage Books,218,1998,eng,John Banville,3.95,2:144,5:843,3:545
164,The Untouchables,1:14,4:267,total:684,Buccaneer Books,31,1996,eng,Eliot Ness,3.89,2:41,5:205,3:157
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,1:4,4:142,total:357,Scribner,40,2005,en-US,Narendra Jadhav,3.82,2:22,5:90,3:99
166,Dalit: The Black Untaouchables of India,1:1,4:2,total:10,Clarity Press,0,1995,eng,V.T. Rajshekar,4.2,2:0,5:6,3:1
168,Growing Up Untouchable in India: A Dalit Autobiography,1:2,4:5,total:20,Rowman & Littlefield Publishers,4,2000,eng,Vasant Moon,3.65,2:2,5:7,3:4
171,The Evidence-Based Social Work Skills Book,1:1,4:1,total:10,Pearson,0,2003,eng,Barry R. Cournoyer,3.4,2:3,5:4,3:1
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",1:0,4:2,total:17,Teacher Created Resources,0,1991,eng,John Carratello,4.0,2:3,5:9,3:3
180,Wrinkles in Time,1:19,4:377,total:1161,Harper Perennial,23,1994,eng,George Smoot,4.01,2:67,5:452,3:246
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),1:32628,4:317628,total:1017308,EMC/Paradigm Publishing,6,2002,eng,Madeleine L'Engle,4.0,2:60867,5:412718,3:193467
182,Literature Circle Guide: A Wrinkle in Time,1:2,4:3,total:15,Teaching Resources,0,2002,eng,Tara MacCarthy,3.6,2:2,5:6,3:2
201,Una arruga en el tiempo – A Wrinkle in Time,1:32628,4:317628,total:1017308,Turtleback Books,1,1984,spa,Madeleine L'Engle,4.0,2:60867,5:412718,3:193467
204,"The Long Shadow (The Morland Dynasty, #6)",1:3,4:165,total:455,"Little, Brown Book Group",17,1994,eng,Cynthia Harrod-Eagles,4.11,2:15,5:181,3:91
205,"A Long Shadow (Inspector Ian Rutledge, #8)",1:10,4:1812,total:3879,William Morrow,238,2006,eng,Charles Todd,4.12,2:56,5:1298,3:703
207,Long Way Round: Chasing Shadows Across the World,1:156,4:3645,total:9348,Atria Books,44,2005,en-US,Ewan McGregor,3.95,2:432,5:2973,3:2142
208,"A Shadow in Summer (Long Price Quartet, #1)",1:344,4:4305,total:11123,Tor Books,636,2006,eng,Daniel Abraham,3.61,2:984,5:2053,3:3437
213,New Hope for the Dead (Hoke Mosely #2),1:2,4:475,total:1051,Vintage Crime/Black Lizard,79,2004,eng,Charles Willeford,3.9,2:56,5:265,3:253
214,Sideswipe: A Hoke Moseley Novel,1:7,4:406,total:931,Vintage Crime/Black Lizard,72,2005,eng,Charles Willeford,4.04,2:40,5:307,3:171
216,Miami Blues (Hoke Moseley #1),1:44,4:1397,total:3508,Vintage Crime/Black Lizard,181,2004,eng,Charles Willeford,3.94,2:164,5:1071,3:832
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),1:6,4:292,total:771,Vintage,11,1990,eng,Charles Willeford,3.89,2:57,5:230,3:186
231,I am Charlotte Simmons,1:1584,4:7605,total:23687,Picador USA,1696,2005,eng,Tom Wolfe,3.42,2:3103,5:4305,3:7090
237,Poetry for Young People: Edward Lear,1:1,4:30,total:76,Sterling,19,2001,eng,Edward Lear,3.91,2:5,5:23,3:17
244,The Puffin Book of Nonsense Verse,1:1,4:43,total:103,Puffin,6,1996,eng,Quentin Blake,4.0,2:4,5:33,3:22
245,Henry Miller on Writing,1:8,4:348,total:1019,New Directions Publishing,52,1964,eng,Henry Miller,4.23,2:30,5:474,3:159
247,Quiet Days in Clichy,1:110,4:1507,total:4228,Grove Press,143,1994,eng,Henry Miller,3.69,2:349,5:987,3:1275
249,Tropic of Cancer,1:3102,4:19730,total:60009,Grove Press,2405,1994,eng,Henry Miller,3.68,2:5864,5:16602,3:14711
250,Tropic of Capricorn,1:679,4:6077,total:17084,Grove Press,463,1994,eng,Henry Miller,3.78,2:1362,5:5014,3:3952
251,"Nexus (The Rosy Crucifixion, #3)",1:19,4:1381,total:3577,Grove Press,58,1994,eng,Henry Miller,4.1,2:132,5:1359,3:686
252,"Sexus (The Rosy Crucifixion, #1)",1:233,4:3050,total:8560,Grove Press,255,1994,eng,Henry Miller,3.98,2:506,5:3138,3:1633
253,The Air-Conditioned Nightmare,1:64,4:1111,total:2916,New Directions,143,1970,eng,Henry Miller,3.83,2:209,5:824,3:708
264,The Portrait of a Lady,1:2202,4:23320,total:68057,Penguin Classics,1994,2003,eng,Henry James,3.78,2:5519,5:19713,3:17303
275,The Lover,1:880,4:11787,total:33882,Pantheon Books,1473,1998,eng,Marguerite Duras,3.74,2:3007,5:9098,3:9110
277,Writing,1:37,4:551,total:1595,Brookline Books,49,1999,eng,Marguerite Duras,3.74,2:156,5:428,3:423
278,The War,1:36,4:848,total:2144,The New Press,66,1994,eng,Marguerite Duras,3.85,2:120,5:582,3:558
280,The Ravishing of Lol Stein,1:122,4:934,total:3053,Pantheon,131,1986,en-US,Marguerite Duras,3.66,2:351,5:834,3:812
285,Love Letters,1:19,4:119,total:418,One World (UK),8,1999,eng,Kahlil Gibran,3.7,2:41,5:127,3:112
288,Kahlil Gibran: His Life and World,1:1,4:15,total:42,Interlink Publishing Group,2,1998,eng,Jean Gibran,4.21,2:0,5:19,3:7
289,The Beloved: Reflections on the Path of the Heart,1:6,4:139,total:389,Penguin Books,16,1998,eng,Kahlil Gibran,4.19,2:9,5:173,3:62
290,Jesus the Son of Man,1:42,4:725,total:2183,Knopf,83,1995,eng,Kahlil Gibran,3.98,2:138,5:822,3:456
291,The Broken Wings,1:345,4:5530,total:16106,Citadel,528,2003,eng,Kahlil Gibran,3.92,2:1032,5:5544,3:3655
292,Sand and Foam,1:79,4:1913,total:5413,Knopf,218,2011,eng,Kahlil Gibran,4.08,2:235,5:2164,3:1022
295,Treasure Island,1:6826,4:140643,total:380722,Kingfisher,6859,2001,eng,Robert Louis Stevenson,3.83,2:23087,5:106542,3:103624
302,Treasure Island (Great Illustrated Classics),1:37,4:1107,total:3433,Abdo Publishing Company,16,2006,eng,Deidre S. Laiken,4.05,2:149,5:1356,3:784
313,100 Years of Lynchings,1:0,4:18,total:106,Black Classic Press,4,1996,eng,Ralph Ginzburg,4.61,2:1,5:77,3:10
324,Cien años de soledad,1:31197,4:191401,total:712566,French & European,7,1990,spa,Gabriel García Márquez,4.07,2:44384,5:339759,3:105825
330,On Beyond Zebra!,1:37,4:885,total:2968,Random House Books for Young Readers,165,1955,eng,Dr. Seuss,4.04,2:165,5:1215,3:666
332,The Wedding Clause,1:2,4:53,total:173,Zebra,14,2005,eng,Debbie Raleigh,3.61,2:16,5:36,3:66
333,The Zebra Wall,1:10,4:67,total:227,Greenwillow Books,24,2005,eng,Kevin Henkes,3.44,2:35,5:44,3:71
337,El perfume: Historia de un asesino,1:7334,4:105950,total:300934,Booket,262,2002,spa,Patrick Süskind,4.02,2:16737,5:116750,3:54163
348,The Door Into Summer,1:164,4:8178,total:21203,Del Rey,654,1997,eng,Robert A. Heinlein,4.01,2:865,5:7236,3:4760
350,Stranger in a Strange Land,1:11617,4:81317,total:266867,Ace,6303,1991,eng,Robert A. Heinlein,3.92,2:18857,5:102853,3:52223
353,Time Enough for Love,1:745,4:9943,total:30796,Ace,642,1988,eng,Robert A. Heinlein,3.97,2:1959,5:11624,3:6525
354,To Sail Beyond the Sunset,1:260,4:3554,total:10560,Ace Books,194,1988,en-US,Robert A. Heinlein,3.87,2:721,5:3453,3:2572
355,Job: A Comedy of Justice,1:377,4:5462,total:16459,Del Rey,440,1985,en-US,Robert A. Heinlein,3.78,2:1418,5:4785,3:4417
356,"Time for the Stars (Heinlein's Juveniles, #10)",1:31,4:3193,total:8040,Tor Books,202,2006,eng,Robert A. Heinlein,3.97,2:261,5:2458,3:2097
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",1:497,4:28327,total:74518,Pocket Books,1415,1991,eng,Douglas Adams,4.06,2:2850,5:27164,3:15680
359,"The Salmon of Doubt (Dirk Gently, #3)",1:210,4:9591,total:25401,Del Rey,752,2005,eng,Douglas Adams,3.93,2:1291,5:7843,3:6466
362,Wish You Were Here: The Official Biography of Douglas Adams,1:38,4:921,total:2777,Del Rey,49,2005,eng,Nick  Webb,4.14,2:98,5:1207,3:513
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",1:1192,4:42964,total:113878,Pocket Books,2457,2002,eng,Douglas Adams,3.98,2:5492,5:38322,3:25908
367,Douglas Adams's Starship Titanic,1:330,4:3407,total:10960,Ballantine Books,85,1998,eng,Terry Jones,3.6,2:1173,5:2520,3:3530
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,1:210,4:9591,total:25401,Turtleback Books,0,2003,eng,Douglas Adams,3.93,2:1291,5:7843,3:6466
382,The Phantom Tollbooth: A Children's Play in Two Acts,1:2,4:32,total:100,"Samuel French, Inc.",14,2011,eng,Susan Nanus,4.11,2:7,5:45,3:14
385,On Bullshit,1:327,4:3339,total:10264,Princeton University Press,1005,2005,eng,Harry G. Frankfurt,3.5700000000000003,2:1161,5:2184,3:3253
386,Another Bullshit Night in Suck City,1:251,4:3730,total:10051,W. W. Norton & Company,909,2005,eng,Nick Flynn,3.79,2:797,5:2733,3:2540
394,Lincoln at Gettysburg: The Words That Remade America,1:130,4:2319,total:7245,Simon & Schuster,15,1993,en-US,Garry Wills,4.14,2:327,5:3259,3:1210
397,The Gettysburg Address,1:46,4:1414,total:6532,HMH Books for Young Readers,76,1998,eng,Abraham Lincoln,4.53,2:92,5:4379,3:601
399,Underworld,1:936,4:8513,total:25858,Scribner,177,1998,eng,Don DeLillo,3.92,2:1924,5:9567,3:4918
400,Libra,1:190,4:5611,total:13598,Penguin,572,1991,eng,Don DeLillo,3.99,2:628,5:4436,3:2733
403,Americana,1:168,4:1612,total:4737,Penguin Books,55,1989,eng,Don DeLillo,3.43,2:602,5:675,3:1680
404,Running Dog,1:37,4:584,total:1679,Vintage Contemporaries,76,1989,eng,Don DeLillo,3.43,2:172,5:193,3:693
406,Cosmopolis,1:897,4:4097,total:14391,Scribner,41,2004,eng,Don DeLillo,3.22,2:2545,5:1721,3:5131
407,Great Jones Street,1:74,4:1005,total:2864,Penguin Books,149,1994,eng,Don DeLillo,3.48,2:334,5:427,3:1024
408,The Names,1:110,4:1257,total:3614,Vintage,213,1989,eng,Don DeLillo,3.64,2:362,5:818,3:1067
409,Against the Day,1:143,4:2015,total:6265,Penguin Press,590,2006,eng,Thomas Pynchon,4.13,2:325,5:2842,3:940
410,V.,1:513,4:6889,total:18489,Harper Perennial Modern Classics,179,2005,eng,Thomas Pynchon,3.96,2:1050,5:6495,3:3542
411,The Crying of Lot 49,1:2830,4:23047,total:65731,Harper Perennial,231,1999,eng,Thomas Pynchon,3.69,2:6351,5:17146,3:16357
412,Gravity's Rainbow,1:1872,4:9055,total:34208,Penguin Books,213,2000,eng,Thomas Pynchon,4.0,2:2472,5:15768,3:5041
413,Mason & Dixon,1:250,4:2806,total:8963,Picador USA,609,2004,eng,Thomas Pynchon,4.07,2:508,5:3909,3:1490
414,Vineland,1:241,4:3528,total:9221,Penguin Classics,69,1997,en-US,Thomas Pynchon,3.69,2:773,5:2040,3:2639
416,Slow Learner: Early Stories,1:60,4:1411,total:4043,Back Bay Books,34,1985,eng,Thomas Pynchon,3.5,2:397,5:562,3:1613
418,Been Down So Long It Looks Like Up To Me,1:73,4:1006,total:2776,Penguin Classics,220,1996,eng,Richard Fariña,3.79,2:209,5:777,3:711
420,The Year of Magical Thinking,1:3250,4:46936,total:131747,Knopf Publishing Group,337,2005,en-US,Joan Didion,3.89,2:9363,5:43259,3:28939
421,The White Album,1:96,4:6143,total:15311,Farrar Straus Giroux,763,1990,eng,Joan Didion,4.16,2:432,5:6138,3:2502
422,A Book of Common Prayer,1:66,4:1364,total:3437,Vintage International,259,1995,eng,Joan Didion,3.8,2:249,5:883,3:875
423,Where I Was From,1:34,4:1333,total:3354,Vintage,295,2004,eng,Joan Didion,3.86,2:225,5:916,3:846
424,Slouching Towards Bethlehem,1:362,4:12452,total:33527,Farrar Straus Giroux,1876,1990,eng,Joan Didion,4.21,2:1016,5:14865,3:4832
425,Democracy,1:34,4:864,total:2307,Vintage International,172,1995,en-US,Joan Didion,3.82,2:147,5:619,3:643
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,1:4,4:483,total:1588,Everyman's Library,109,2006,eng,Joan Didion,4.5,2:23,5:967,3:111
428,Play It As It Lays,1:470,4:10389,total:26972,"Farrar, Straus and Giroux",1757,2005,eng,Joan Didion,3.88,2:1770,5:7981,3:6362
